Level,Degree,Term,courseName,courseID,courseType,creditHours,Grade
U,BS1,1,CourseE1,CE1,Major,3,65
U,BS1,1,CourseE6,CE6,Minor,4,66
U,BS1,1,CourseE2,CE2,Major,3,67
U,BS1,2,CourseE11,CE11,Major,3,68
U,BS1,2,CourseE16,CE16,Minor,4,69
U,BS1,2,CourseE12,CE12,Major,3,90
U,BS1,3,CourseE21,CE21,Major,3,80
U,BS1,3,CourseE26,CE26,Minor,4,81
U,BS1,3,CourseE22,CE22,Major,3,82
U,BS1,4,CourseE31,CE31,Major,3,83
U,BS1,4,CourseE36,CE36,Minor,4,84
U,BS1,4,CourseE32,CE32,Major,3,60
U,BS1,5,CourseE41,CE41,Major,3,80
U,BS1,5,CourseE46,CE46,Minor,4,90
U,BS1,5,CourseE42,CE42,Major,3,85
U,BS1,6,CourseE51,CE51,Major,3,86
U,BS1,6,CourseE56,CE56,Minor,3,87
U,BS1,6,CourseE32,CE32,Major,3,95
U,BS1,7,CourseE61,CE61,Major,3,89
U,BS1,7,CourseE66,CE66,Minor,3,84
U,BS1,7,CourseE62,CE62,Major,3,85
U,BS1,8,CourseE76,CE76,Minor,3,86
U,BS1,8,CourseE72,CE72,Major,3,87
G,M1,1,CourseS1,CS1,Major,3,88
G,M1,1,CourseS6,CS6,Minor,3,89
G,M1,2,CourseS11,CS11,Major,3,91
G,M1,2,CourseS16,CS16,Minor,3,82
G,M1,3,CourseS21,CS21,Major,3,83
G,M1,3,CourseS26,CS26,Minor,3,84
